id,created_ts,snapshot_ts,domain,product_key,title,vendor,region,category,supply_url,sku,ptype,supply_gbp,list_gbp,markdown,n_variants,grams,region_gap,dep_conf,dep_cycles,dep_stockouts,dep_oos_frac,comp_median,comp_p25,comp_n,comp_synthetic,active_spread,est_cm,est_roi_cost,est_cm_rev,seller_country,fee_tax,match_status,match_query_used,match_confidence,match_notes,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes,labeled_ts
1,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen washed classic percale pillowcase set,Washed Classic Percale Pillowcase Set - Last Call / Stone / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/washed-classic-pillowcase-set-last-call?variant=43874679750746,PC-CSW-S2,Pillowcases,12.65943,50.63772,0.75,8,209,,none,0,0,0.0,54.30712,50.63772,235,1,0.0675675675675675,26.765515587899998,1.6733226670305203,0.4928546309931368,AE,0.05,,,,,,,,,
2,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen organic cotton pillowcase set,Organic Cotton Pillowcase Set - Last Call / Moss / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/organic-pillowcases-last-call?variant=43329180631130,PC-GTS-S7,Bedding,13.76025,55.041,0.75,3,227,,none,0,0,0.0,53.57324,35.22624,34,1,0.34246575342465757,24.93431567455,1.4523504535727287,0.46542482169362914,AE,0.05,,,,,,,,,
3,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen classic percale pillowcase set,Classic Percale Pillowcase Set - Last Call / Oyster in Storm / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/classic-pillowcases-last-call?variant=43874678046810,PC-S194,Pillowcases,10.824729999999999,43.298919999999995,0.75,5,227,,none,0,0,0.0,49.169959999999996,45.50056,228,1,0.07462686567164172,24.097540194449998,1.6931073795715932,0.49008663408410336,AE,0.05,,,,,,,,,
4,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen washed european linen pillowcase set,Washed European Linen Pillowcase Set - Last Call / Dried Grass / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/washed-linen-pillowcases-last-call?variant=43666232377434,PC-LIN-S27L,Pillowcases,14.49413,57.97652,0.75,4,308,,none,0,0,0.0,85.13007999999999,22.75028,277,1,0.7327586206896551,50.7777319486,2.78598539287276,0.5964722686575651,AE,0.05,,,,,,,,,
5,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen sesame street pillowcase set,Sesame Street® Pillowcase Set - Last Call / Grass Stripe / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/sesame-street-pillowcase-set-last-call?variant=42807349379162,PC-S2B-SW,Pillowcases,10.09085,40.3634,0.75,2,0,,none,0,0,0.0,80.7268,77.0574,31,1,0.04545454545454541,50.32430046849999,3.449031445632022,0.6233902553860675,AE,0.05,,,,,,,,,
6,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.stanley1913.com,stanley 10 oz,GO Everyday Wine Tumbler | 10 OZ - Stanley Create / Polar,Stanley,US,default,https://www.stanley1913.com/products/go-everyday-wine-tumbler-10-oz-sc?variant=44559717335167,100000002883c,normal,5.87104,23.48416,0.75,1,0,,none,0,0,0.0,131.36452,98.33991999999999,360,1,0.2513966480446928,97.92550848965,9.442207193266055,0.7454486834774717,AE,0.05,,,,,,,,,
7,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,jeffreestarcosmetics.com,jeffree star cosmetics hi how are ya,"Hi, How Are Ya? THC Black Tee / SM",Jeffree Star Cosmetics,US,clothing,https://jeffreestarcosmetics.com/products/jeffree-star-thc-black-tee?variant=44560476799103,STL-STL-JS005-SH-SH-N-R-BK-002,T-SHIRT,7.3388,25.6858,0.7142857142857143,3,0,,none,0,0,0.0,126.96123999999999,79.25904,294,1,0.37572254335260113,92.68545300954997,7.8289567362866155,0.7300295193206209,AE,0.05,,,,,,,,,
8,2026-08-21T09:20:44Z,2026-08-21T06:18:45Z,www.stanley1913.com,stanley iceflow bottle with fast flow lid,IceFlow™ Bottle with Fast Flow Lid | 24 OZ - Stanley Create / Hot Coral,Stanley,US,default,https://www.stanley1913.com/products/iceflow™-bottle-with-fast-flow-lid-24-oz-stanley-create?variant=53972915257704,100000105862c,normal,10.27432,34.49236,0.7021276595744681,7,399,,none,0,0,0.0,84.3962,80.7268,256,1,0.043478260869565175,53.854858035250004,3.7476450096622766,0.6381194655120729,AE,0.05,,,,,,,,,
9,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,gymshark.com,gymshark | be a visionary. vital warm,Gymshark VItal Warm Leggings - Black Marl / Extra Small,Gymshark | Be a visionary.,US,clothing,https://gymshark.com/products/gymshark-vital-seamless-warm-legging-leggings-black-aw25?variant=39796033323210,B5C5A-BBF3-XS,Womens>Apparel>Leggings>full_length,14.090496,46.96832,0.7,2,0,,none,0,0,0.0,129.89676,96.87216,318,1,0.25423728813559326,88.44862066295,4.757733234387614,0.6809147561721325,AE,0.05,,,,,,,,,
10,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,www.redbullshopus.com,visa cash app racing bulls las vegas,Visa Cash App Racing Bulls Las Vegas GP T-Shirt / M / Black,Visa Cash App Racing Bulls,US,clothing,https://www.redbullshopus.com/products/visa-cash-app-racing-bulls-las-vegas-gp-t-shirt?variant=41239591616583,M-182320,T-Shirt,22.0164,64.544746,0.6588971006253553,1,454,,none,0,0,0.0,77.79128,15.41148,267,1,0.8018867924528302,36.1436948151,1.3725940216273487,0.4646239888982415,AE,0.05,,,,,,,,,
11,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,www.stanley1913.com,stanley the iceflow tumbler with fast flow,The IceFlow™ Tumbler with Fast Flow Lid | 20 OZ - Stanley Create / Splash,Stanley,US,default,https://www.stanley1913.com/products/the-iceflow™-tumbler-with-fast-flow-lid-20-oz-stanley-create?variant=53973280981352,100000105727c,normal,11.0082,30.82296,0.6428571428571428,4,599,,none,0,0,0.0,39.62952,79.99292,235,1,-1.0185185185185186,13.639707320899998,0.8576166874724914,0.34418048265283047,AE,0.05,,,,,,,,,
12,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,www.allbirds.ca,allbirds men s runner protect,Men's Runner Protect - Dark Grey (Medium Grey Sole) / 7,Allbirds,CA,shoes,https://www.allbirds.ca/products/mens-runner-protect-dark-grey?variant=51875990470976,ABA10995-000420-7,Shoes,39.43872185911402,98.59680464778504,0.6,4,1,,none,0,0,0.0,96.87216,49.169959999999996,33,1,0.49242424242424243,37.626530703085976,0.8970932031896698,0.3884142843835213,AE,0.05,,,,,,,,,
13,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,www.brooklinen.com,brooklinen heathered cashmere pillowcases,Heathered Cashmere Pillowcases - Last Call / White / Standard,Brooklinen,US,default,https://www.brooklinen.com/products/heathered-cashmere-pillowcases-last-call?variant=42951699857498,PC-S1C,Pillowcases,23.190608,57.97652,0.6,2,181,,none,0,0,0.0,138.70332,61.64592,10,1,0.5555555555555556,88.69481162315,3.3577939760889124,0.6394570196528101,AE,0.05,,,,,,,,,
14,2026-08-21T09:20:45Z,2026-08-21T06:18:45Z,www.stanley1913.com,stanley 1913 the essentials case,The Stanley Essentials Case | Midi / Lilac,Stanley 1913,US,default,https://www.stanley1913.com/products/the-stanley-essentials-case-midi-sale?variant=53973922677096,100000106469,normal,8.80656,22.0164,0.6,2,0,,none,0,0,0.0,68.98472,35.960119999999996,395,1,0.4787234042553192,41.549135854899994,3.122455078915963,0.6022947669411428,AE,0.05,,,,,,,,,
