domain,region,brand_core,marketplace,present,brand_in_titles,identity_tier,identity_evidence,handles,rejected_handles,listings,categories,errors,sample_title,notes
misen.com,US,misen,EBAY_US,not_detected,no,not_testable,,,,0,,0,,
case-mate.com,US,case-mate,EBAY_US,candidate_active,yes,legal_info_unavailable,"legal_info_unavailable: no legal block on any of 5 sampled listings -- no resolving power here, NOT evidence against ownership",case-mate|case-mate_inc,,185,Cameras & Photo:4;Consumer Electronics:3;Home & Garden:1;Mobile/Comms:177,0,Case-Mate Apple Airpods 3rd Gen Tough Case,
corkcicle.com,US,corkcicle,EBAY_US,not_detected,no,not_testable,,,,0,,0,,
ugmonk.com,US,ugmonk,EBAY_US,not_detected,no,not_testable,,,,0,,0,,
status.co,US,status,EBAY_US,dormant,no,not_testable,,status|statusuk|status-uk|status-us|statusshop|statusofficial,,0,,0,,
chromeindustries.com,US,chromeindustries,EBAY_US,dormant,no,not_testable,,chromeindustries,,0,,0,,
hypershop.com,US,hypershop,EBAY_US,dormant,no,not_testable,,hypershop|hypershopofficial,,0,,0,,
moft.us,US,moft,EBAY_US,dormant,no,not_testable,,moftshop,,0,,0,,
materialkitchen.com,US,materialkitchen,EBAY_US,not_detected,no,not_testable,,,,0,,0,,
distilunion.com,US,distilunion,EBAY_US,dormant,no,not_testable,,distilunion,,0,,0,,
shopbala.com,US,shopbala,EBAY_US,not_detected,no,not_testable,,,,0,,0,,
www.itinstock.com,GB,itinstock,EBAY_GB,confirmed_active,no,email_domain,email_domain: legal contact email ebay@itinstock.com is at the source's own domain,itinstock,,18842,Business/Industrial:268;Computers/Networking:18459;Consumer Electronics:70;Home & Garden:6;Mobile/Comms:39,0,,
www.serverpartdeals.com,US,serverpartdeals,EBAY_US,candidate_active,no,legal_info_unavailable,"legal_info_unavailable: no legal block on any of 5 sampled listings -- no resolving power here, NOT evidence against ownership",serverpartdeals,,786,Business/Industrial:1;Computers/Networking:784;Consumer Electronics:1,0,,
www.tier1online.com,GB,tier1online,EBAY_GB,not_detected,no,not_testable,,,,0,,0,,
reboxed.co.uk,GB,reboxed,EBAY_GB,candidate_active,yes,domain_only_no_match,source publishes no identifiers; only email domain testable and it did not match,reboxed|reboxedstore|reboxedco,,2,Mobile/Comms:2,0,Reboxed Eco Case for iPhone 11 Pro Max,
